customer_id,age,region,monthly_income,employment_status
C00001,41,Stockholms län,26400,Temporary/Probation/Freelance
C00002,68,Stockholms län,18900,Retired
C00003,56,Dalarnas län,30800,Permanent employment
C00004,49,Västra Götalands län,35700,Permanent employment
C00005,27,Östergötlands län,45900,Permanent employment
C00006,33,Skåne län,29900,Self-employed
C00007,20,Stockholms län,57100,Self-employed
C00008,67,Västra Götalands län,24000,Retired
C00009,48,Stockholms län,42600,Permanent employment
C00010,63,Västra Götalands län,40000,Permanent employment
C00011,22,Skåne län,9600,Student
C00012,70,Södermanlands län,28600,Retired
C00013,68,Dalarnas län,15300,Retired
C00014,25,Norrbottens län,37500,Permanent employment
C00015,32,Uppsala län,40700,Permanent employment
C00016,26,Örebro län,43200,Permanent employment
C00017,42,Västra Götalands län,52100,Permanent employment
C00018,50,Västra Götalands län,41700,Self-employed
C00019,42,Västerbottens län,35200,Permanent employment
C00020,40,Skåne län,15600,Unemployed
C00021,49,Västra Götalands län,42900,Self-employed
C00022,29,Örebro län,46400,Permanent employment
C00023,44,Skåne län,14800,Unemployed
C00024,44,Skåne län,53500,Permanent employment
C00025,52,Östergötlands län,41300,Permanent employment
C00026,61,Värmlands län,66900,Self-employed
C00027,32,Västra Götalands län,39100,Permanent employment
C00028,52,Skåne län,15700,Unemployed
C00029,51,Kalmar län,7100,Unemployed
C00030,21,Stockholms län,15600,Student
C00031,53,Stockholms län,13300,Unemployed
C00032,31,Skåne län,41500,Permanent employment
C00033,23,Kalmar län,8400,Student
C00034,75,Värmlands län,65700,Self-employed
C00035,79,Skåne län,25500,Retired
C00036,70,Västernorrlands län,24900,Retired
C00037,43,Stockholms län,45100,Temporary/Probation/Freelance
C00038,25,Norrbottens län,4000,Unemployed
C00039,56,Södermanlands län,40100,Permanent employment
C00040,35,Västra Götalands län,43900,Permanent employment
C00041,34,Skåne län,32200,Permanent employment
C00042,47,Jönköpings län,51000,Self-employed
C00043,22,Stockholms län,3300,Student
C00044,69,Stockholms län,14800,Retired
C00045,25,Västra Götalands län,32600,Parental leave
C00046,58,Jönköpings län,36600,Permanent employment
C00047,42,Västerbottens län,48600,Permanent employment
C00048,50,Östergötlands län,40800,Permanent employment
C00049,45,Norrbottens län,39100,Permanent employment
C00050,25,Stockholms län,31100,Permanent employment
C00051,67,Stockholms län,17200,Retired
C00052,64,Östergötlands län,20900,Retired
C00053,79,Dalarnas län,18300,Retired
C00054,72,Skåne län,23000,Retired
C00055,52,Stockholms län,32000,Permanent employment
C00056,77,Stockholms län,18000,Retired
C00057,27,Östergötlands län,46700,Permanent employment
C00058,31,Hallands län,29200,Permanent employment
C00059,23,Östergötlands län,25400,Permanent employment
C00060,37,Västra Götalands län,67300,Self-employed
C00061,38,Västra Götalands län,44700,Permanent employment
C00062,43,Dalarnas län,32900,Permanent employment
C00063,77,Skåne län,28100,Retired
C00064,38,Östergötlands län,53300,Permanent employment
C00065,37,Norrbottens län,44800,Permanent employment
C00066,49,Jönköpings län,41100,Permanent employment
C00067,31,Gotlands län,25800,Permanent employment
C00068,69,Örebro län,20500,Retired
C00069,23,Stockholms län,22000,Permanent employment
C00070,72,Kronobergs län,23800,Retired
C00071,58,Stockholms län,48800,Permanent employment
C00072,26,Stockholms län,27200,Self-employed
C00073,21,Stockholms län,35500,Temporary/Probation/Freelance
C00074,77,Stockholms län,7000,Unemployed
C00075,60,Jönköpings län,41300,Permanent employment
