loan_id,customer_id,loan_type,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L000001,C00001,Personal Loan,186000,106200,8.28,5980,0,0
L000002,C00002,Mortgage,470000,265600,2.92,1870,0,0
L000003,C00003,Mortgage,917000,824100,2.42,4150,0,0
L000004,C00004,Car Loan,93000,71800,6.7,3800,0,0
L000005,C00005,Mortgage,1592000,982400,3.5,6640,0,0
L000006,C00006,Mortgage,1138000,667100,3.14,5240,1,0
L000007,C00006,Car Loan,135000,72500,8.46,3170,0,0
L000008,C00007,Credit Card,21000,15500,15.5,1050,0,0
L000009,C00008,Car Loan,173000,84200,6.7,4260,0,0
L000010,C00009,Mortgage,1570000,1024700,2.67,6880,0,0
L000011,C00010,Mortgage,1952000,1633800,3.3,10010,0,0
L000012,C00010,Car Loan,130000,58500,6.73,4360,0,0
L000013,C00011,Personal Loan,53000,20600,8.09,540,1,0
L000014,C00012,Personal Loan,65000,23200,10.51,2430,0,0
L000015,C00012,Credit Card,36000,19300,17.13,1800,0,0
L000016,C00013,Credit Card,18000,5200,14.88,900,0,0
L000017,C00014,Car Loan,78000,21000,6.64,1560,0,0
L000018,C00015,Personal Loan,80000,38100,10.37,930,0,0
L000019,C00015,Mortgage,2171000,1725200,2.68,9150,0,0
L000020,C00016,Personal Loan,61000,39500,8.19,770,0,0
L000021,C00017,Mortgage,2142000,1643400,2.38,10000,0,0
L000022,C00018,Personal Loan,96000,28600,8.68,950,0,0
L000023,C00019,Credit Card,16000,11100,14.78,800,0,0
L000024,C00020,Personal Loan,92000,30500,6.83,1550,0,1
L000025,C00020,Credit Card,14000,2100,21.45,700,0,0
L000026,C00021,Mortgage,1461000,752100,2.54,6580,0,0
L000027,C00021,Credit Card,33000,11200,17.27,1650,0,0
L000028,C00022,Car Loan,347000,209600,6.65,12950,0,1
L000029,C00022,Mortgage,1347000,987000,3.28,5750,0,0
L000030,C00022,Credit Card,32000,2700,16.32,1600,0,0
L000031,C00023,Credit Card,9000,900,14.68,450,4,0
L000032,C00024,Car Loan,380000,295400,6.43,16390,0,0
L000033,C00024,Personal Loan,190000,84100,8.26,2580,1,0
L000034,C00024,Mortgage,2458000,1739400,2.81,9760,2,0
L000035,C00025,Car Loan,404000,362400,4.97,5630,0,0
L000036,C00026,Car Loan,347000,94500,7.83,13850,0,0
L000037,C00026,Mortgage,1763000,900400,3.18,6270,0,0
L000038,C00027,Credit Card,24000,3600,16.42,1200,0,0
L000039,C00028,Credit Card,17000,2100,20.24,850,0,0
L000040,C00028,Personal Loan,16000,12000,10.3,370,0,0
L000041,C00028,Car Loan,88000,73200,8.37,1770,0,0
L000042,C00029,Personal Loan,47000,32600,13.47,620,0,0
L000043,C00030,Car Loan,125000,67300,7.76,1830,0,0
L000044,C00031,Credit Card,18000,10000,19.93,900,0,0
L000045,C00032,Credit Card,31000,20400,20.52,1550,0,0
L000046,C00033,Credit Card,9000,1500,14.74,450,0,0
L000047,C00034,Mortgage,2309000,2082700,2.68,9990,0,0
L000048,C00035,Credit Card,35000,5900,18.35,1750,0,0
