customer_id,date_of_birth,region_id
C00001,1985-06-14,12
C00002,1958-05-10,12
C00003,1970-03-03,2
C00004,1976-11-09,19
C00005,1998-12-16,21
C00006,1992-12-04,11
C00007,2006-05-08,12
C00008,1959-01-09,19
C00009,1978-02-09,12
C00010,1963-07-19,19
C00011,2004-03-24,11
C00012,1956-03-28,13
C00013,1957-11-17,2
C00014,2001-04-26,10
C00015,1993-12-29,14
C00016,2000-05-13,20
C00017,1983-12-20,19
C00018,1975-11-07,19
C00019,1984-05-25,16
C00020,1985-09-25,11
C00021,1977-01-09,19
C00022,1997-09-05,20
C00023,1982-08-26,11
C00024,1982-04-12,11
C00025,1974-08-16,21
C00026,1964-12-16,15
C00027,1994-08-07,19
C00028,1974-06-25,11
C00029,1974-11-22,8
C00030,2005-03-19,12
C00031,1972-11-22,12
C00032,1995-08-07,11
C00033,2002-12-06,8
C00034,1951-05-11,15
C00035,1947-02-02,11
C00036,1956-01-05,17
C00037,1983-08-05,12
C00038,2000-10-31,10
C00039,1969-09-29,13
C00040,1990-12-12,19
C00041,1992-06-22,11
C00042,1978-09-12,7
C00043,2003-11-13,12
C00044,1957-01-29,12
C00045,2000-11-16,19
C00046,1968-07-19,7
C00047,1984-07-12,16
C00048,1975-09-19,21
C00049,1981-05-02,10
C00050,2001-02-22,12
C00051,1958-10-15,12
C00052,1961-09-21,21
C00053,1947-01-05,2
C00054,1954-01-08,11
C00055,1973-11-03,12
C00056,1948-10-02,12
C00057,1999-07-14,21
C00058,1995-07-23,5
C00059,2003-04-08,21
C00060,1989-01-12,19
C00061,1988-05-03,19
C00062,1983-05-24,2
C00063,1949-04-19,11
C00064,1987-12-24,21
C00065,1989-05-18,10
C00066,1976-10-21,7
C00067,1994-11-24,3
C00068,1957-08-29,20
C00069,2003-05-18,12
C00070,1954-04-26,9
C00071,1967-11-12,12
C00072,1999-12-21,12
C00073,2004-10-06,12
C00074,1948-10-02,12
C00075,1965-11-22,7
C00076,1969-10-23,20
C00077,1969-01-21,5
C00078,2006-08-11,19
C00079,1987-08-31,11
C00080,1993-05-24,20
C00081,1960-01-10,2
C00082,1964-10-12,18
C00083,1987-05-16,20
C00084,2004-10-03,12
C00085,1984-01-30,5
C00086,1986-04-21,5
C00087,1968-03-07,11
C00088,1968-03-26,11
C00089,1960-06-09,12
C00090,1978-09-15,12
C00091,1995-06-05,4
C00092,1969-07-04,19
C00093,1967-08-24,14
C00094,1971-10-21,13
C00095,1966-02-22,5
C00096,1976-03-23,8
C00097,1978-04-09,1
C00098,1986-08-30,12
C00099,2004-05-02,12
C00100,1995-02-16,9
C00101,2003-03-18,19
C00102,1970-08-11,12
C00103,1985-01-10,21
C00104,1978-12-19,19
C00105,1947-02-05,15
C00106,2000-11-25,12
C00107,1990-08-09,19
C00108,1962-02-25,16
C00109,1993-03-07,4
C00110,2003-08-23,15
C00111,1984-01-15,19
C00112,1995-10-10,14
C00113,1948-03-09,19
C00114,1956-03-27,19
C00115,1971-03-14,8
C00116,1960-07-19,11
C00117,1957-09-11,19
C00118,1999-04-28,16
C00119,1948-08-03,13
C00120,1981-06-09,14
C00121,1954-07-23,5
C00122,1955-07-05,12
C00123,1988-03-06,5
C00124,1993-07-13,12
C00125,1998-07-19,11
C00126,1991-01-01,19
C00127,1947-03-28,12
C00128,1951-12-09,12
C00129,2006-04-13,21
C00130,1981-01-27,7
C00131,1991-03-10,19
C00132,1997-11-30,11
C00133,2000-11-03,9
C00134,1989-12-20,11
C00135,1958-04-25,12
C00136,1985-05-29,19
C00137,1979-12-09,12
C00138,1964-04-13,20
C00139,1985-01-16,11
C00140,1953-01-27,11
C00141,1948-03-28,19
C00142,1995-12-19,18
C00143,1978-01-07,6
C00144,1986-05-17,11
C00145,1988-01-17,12
C00146,2006-02-08,2
C00147,1978-10-07,12
C00148,1979-02-28,20
C00149,2004-11-20,19
C00150,1991-05-24,4
C00151,1947-10-12,4
C00152,2000-10-12,12
C00153,1999-03-30,5
C00154,1974-09-21,12
C00155,1947-04-08,12
C00156,1993-09-10,11
C00157,1970-01-19,12
C00158,1965-09-03,19
C00159,2000-10-08,16
C00160,1970-02-06,11
C00161,1985-12-24,14
C00162,1967-08-14,18
C00163,1964-09-07,18
C00164,1980-08-16,19
C00165,2001-01-12,19
C00166,1955-01-18,2
C00167,1986-07-14,12
C00168,1994-05-31,17
C00169,2004-07-31,6
C00170,1973-10-18,2
C00171,1970-03-08,14
C00172,2005-10-07,18
C00173,1974-09-12,11
C00174,1999-11-10,5
C00175,1964-08-14,18
C00176,1993-06-09,12
C00177,1964-09-28,7
C00178,1988-05-10,20
C00179,1952-11-06,20
C00180,1998-05-08,18
C00181,1987-11-13,12
C00182,1993-02-12,19
C00183,1947-12-23,12
C00184,1954-07-23,15
C00185,1997-09-24,14
C00186,1963-11-10,19
C00187,1946-11-09,11
C00188,1973-11-09,10
C00189,1975-02-18,5
C00190,1992-06-22,19
C00191,1996-06-12,7
C00192,1954-07-19,19
C00193,1954-11-08,11
C00194,1967-03-21,12
C00195,1987-10-03,5
C00196,1990-08-31,20
C00197,1964-09-06,14
C00198,1953-07-17,12
C00199,1958-03-15,5
C00200,1967-09-22,20
C00201,1967-06-26,14
C00202,1999-12-12,17
C00203,1995-05-28,17
C00204,1946-10-20,12
C00205,1977-08-05,14
C00206,2003-05-30,19
C00207,1993-10-29,16
C00208,1963-10-04,19
C00209,2003-07-12,11
C00210,1996-12-15,12
C00211,1976-05-29,11
C00212,1969-08-06,5
C00213,1971-04-24,21
C00214,1993-08-12,11
C00215,1963-05-14,12
C00216,1998-10-08,11
C00217,1988-07-22,12
C00218,1965-07-01,12
C00219,1970-07-28,18
C00220,1950-09-10,12
C00221,1969-01-25,11
C00222,1976-03-21,12
C00223,1994-03-24,14
C00224,1991-07-11,7
C00225,1987-12-26,12
C00226,2001-07-20,12
C00227,1960-02-13,2
C00228,1984-09-03,12
C00229,1955-12-09,12
C00230,1963-07-09,15
C00231,1960-08-14,13
C00232,1979-07-01,19
C00233,1972-10-05,12
C00234,1972-10-28,14
C00235,1995-10-23,11
C00236,1968-12-09,10
C00237,1986-12-28,12
C00238,2005-02-08,8
C00239,1965-07-06,12
C00240,1991-11-01,12
C00241,1951-08-31,4
C00242,1954-02-01,12
C00243,1955-09-11,18
C00244,1983-09-30,12
C00245,2005-01-21,2
C00246,1959-03-30,11
C00247,1984-09-19,2
C00248,1952-07-14,12
C00249,1950-09-08,19
C00250,1961-02-16,19
C00251,1985-05-20,11
C00252,1986-06-16,20
C00253,1954-07-29,19
C00254,1985-06-30,2
C00255,1997-09-13,9
C00256,1979-02-05,5
C00257,1959-07-26,2
C00258,1968-08-25,12
C00259,1973-03-23,11
C00260,1993-02-21,16
C00261,1980-02-26,11
C00262,1957-04-22,14
C00263,2001-03-29,7
C00264,1978-01-15,2
C00265,1959-11-04,16
C00266,1963-10-06,6
C00267,1968-06-15,19
C00268,1967-07-12,11
C00269,1987-12-17,12
C00270,1986-11-27,12
C00271,1956-10-10,12
C00272,1957-02-25,12
C00273,1950-10-07,2
C00274,1959-05-20,20
C00275,1975-08-08,11
C00276,1979-07-31,10
C00277,1960-03-07,16
C00278,1969-01-31,19
C00279,1969-08-14,11
C00280,1954-02-18,12
C00281,1957-09-12,11
C00282,1988-12-15,12
C00283,1982-02-12,9
C00284,1997-04-04,6
C00285,1978-03-30,21
C00286,2005-12-14,12
C00287,1974-06-15,5
C00288,1975-06-06,5
C00289,1984-03-06,12
C00290,1976-12-04,12
C00291,2003-03-13,10
C00292,2006-07-25,14
C00293,1956-03-12,18
C00294,1984-09-07,11
C00295,1995-02-13,1
C00296,1980-07-07,13
C00297,1964-11-20,19
C00298,1996-02-21,2
C00299,1967-09-02,14
C00300,1998-03-08,12
C00301,2005-10-04,12
C00302,1980-09-07,15
C00303,1974-10-01,1
C00304,1961-09-17,12
C00305,1969-05-24,21
C00306,1957-05-18,11
C00307,1974-01-08,18
C00308,1983-10-09,19
C00309,1956-06-28,12
C00310,1987-05-28,12
C00311,1989-09-24,8
C00312,2006-08-03,12
C00313,2005-10-20,19
C00314,1950-11-02,8
C00315,1960-04-19,21
C00316,1971-02-27,11
C00317,1988-01-15,19
C00318,1997-12-25,11
C00319,1997-03-04,15
C00320,1996-12-09,19
C00321,1974-03-19,15
C00322,1969-01-25,19
C00323,1966-05-24,12
C00324,1989-04-07,12
C00325,1949-05-17,4
C00326,1969-12-31,6
C00327,1974-09-07,19
C00328,1981-07-18,19
C00329,1983-01-17,14
C00330,1994-12-31,11
C00331,1982-02-06,10
C00332,1967-10-15,18
C00333,2003-10-09,21
C00334,1996-01-14,13
C00335,2006-04-23,11
C00336,2006-08-02,8
C00337,1958-01-31,7
C00338,1961-10-08,19
C00339,1977-06-28,12
C00340,1993-07-30,19
C00341,1980-04-09,19
C00342,1980-04-26,20
C00343,1996-11-12,18
C00344,1991-05-16,11
C00345,1984-04-01,15
C00346,1976-11-08,11
C00347,1961-12-10,16
C00348,2004-10-05,12
C00349,1983-06-25,17
C00350,1970-09-10,14
C00351,1975-03-16,12
C00352,1954-06-30,1
C00353,1966-02-04,19
C00354,1995-03-17,12
C00355,2004-03-11,11
C00356,1970-12-28,20
C00357,2003-08-05,14
C00358,1975-03-09,5
C00359,1961-08-25,21
C00360,1980-09-26,11
C00361,1985-12-14,19
C00362,1968-02-16,7
C00363,1979-05-26,10
C00364,1976-10-29,11
C00365,1952-11-07,20
C00366,1981-10-22,19
C00367,1951-11-23,18
C00368,1950-06-02,12
C00369,1992-06-08,12
C00370,2003-09-20,11
C00371,1997-06-11,18
C00372,2005-07-14,12
C00373,1997-06-27,16
C00374,1963-05-27,12
C00375,2003-09-24,12
C00376,1982-08-10,12
C00377,1950-11-25,5
C00378,2003-09-09,17
C00379,1961-05-28,14
C00380,1982-01-17,11
C00381,1997-05-27,12
C00382,1971-03-16,19
C00383,1965-11-29,12
C00384,1950-03-31,11
C00385,1961-09-25,19
C00386,1952-08-09,5
C00387,1984-11-05,12
C00388,2001-05-30,12
C00389,1962-04-27,19
C00390,1957-09-23,20
C00391,1953-04-04,4
C00392,1991-07-26,20
C00393,1983-08-07,16
C00394,1964-02-13,8
C00395,1987-09-10,21
C00396,1955-12-09,12
C00397,1955-03-23,11
C00398,1988-06-04,19
C00399,1965-12-18,20
C00400,1964-12-15,14
C00401,1995-12-16,11
C00402,1950-09-28,19
C00403,1976-01-29,11
C00404,1960-05-23,13
C00405,1987-02-10,15
C00406,1958-10-25,12
C00407,1985-05-22,4
C00408,2003-04-17,16
C00409,1961-02-24,7
C00410,1995-09-28,7
C00411,1986-06-02,19
C00412,1955-09-05,11
C00413,1947-07-29,12
C00414,1974-05-18,17
C00415,1969-06-14,1
C00416,1986-02-05,12
C00417,1982-08-16,11
C00418,1990-02-14,12
C00419,1962-09-15,12
C00420,1970-06-01,11
C00421,1969-03-01,9
C00422,1962-04-16,11
C00423,2000-02-26,10
C00424,1973-07-18,18
C00425,2006-06-13,12
C00426,1976-10-07,12
C00427,1991-09-06,5
C00428,1957-05-09,19
C00429,1984-08-13,2
C00430,1993-10-13,19
C00431,1993-11-15,12
C00432,1970-04-09,11
C00433,1974-07-12,20
C00434,1997-08-01,17
C00435,2000-11-22,14
C00436,1965-08-13,11
C00437,2002-01-13,12
C00438,1955-12-12,11
C00439,1967-07-01,12
C00440,2001-08-28,6
C00441,2000-12-12,19
C00442,1955-10-11,18
C00443,1982-07-27,10
C00444,1984-12-04,12
C00445,1951-11-10,19
C00446,1952-01-29,2
C00447,1961-07-26,11
C00448,1963-08-02,19
C00449,1987-09-23,8
C00450,1997-09-01,19
C00451,1970-02-07,9
C00452,1972-03-23,11
C00453,1984-04-08,12
C00454,1948-08-02,12
C00455,1999-12-31,12
C00456,1978-11-15,12
C00457,2003-03-14,11
C00458,1973-07-20,12
C00459,2005-01-21,12
C00460,1995-10-12,15
C00461,1998-06-06,19
C00462,1964-09-18,15
C00463,1965-11-22,17
C00464,1972-07-28,12
C00465,1948-08-25,12
C00466,1983-08-22,21
C00467,1983-02-27,17
C00468,1952-02-12,19
C00469,1998-09-07,21
C00470,1961-05-09,12
C00471,2005-07-30,19
C00472,1954-07-08,14
C00473,2004-11-01,11
C00474,1954-03-27,6
C00475,1980-04-11,11
C00476,1958-01-04,17
C00477,2005-12-11,9
C00478,1975-05-10,19
C00479,1958-03-14,4
C00480,1974-05-03,5
C00481,1963-02-18,19
C00482,1963-05-18,19
C00483,1979-05-29,2
C00484,1966-09-27,12
C00485,1976-06-15,21
C00486,1955-12-13,9
C00487,2005-07-26,4
C00488,1984-02-26,16
C00489,1955-11-10,12
C00490,1956-07-03,12
C00491,1978-09-04,17
C00492,1975-07-03,13
C00493,1984-01-01,14
C00494,1998-10-11,12
C00495,1975-06-20,13
C00496,1989-04-19,19
C00497,1974-05-13,3
C00498,2006-02-08,11
C00499,1960-09-15,17
C00500,1948-08-17,12
C00501,1966-06-18,12
C00502,1972-09-05,18
C00503,1982-11-25,19
C00504,1950-08-10,14
C00505,1968-06-24,21
C00506,1995-10-14,21
C00507,1950-03-25,19
C00508,1957-09-07,12
C00509,1950-05-11,11
C00510,1971-02-28,12
C00511,1976-01-04,20
C00512,1983-04-15,7
C00513,1947-06-15,11
C00514,1947-02-20,12
C00515,2003-07-22,12
C00516,2004-07-27,19
C00517,1988-11-04,19
C00518,1948-05-10,19
C00519,1960-04-13,19
C00520,1997-10-15,12
C00521,1971-09-23,19
C00522,1989-01-10,12
C00523,1949-11-29,12
C00524,1960-06-06,19
