employment_id,customer_id,employment_status,monthly_income,valid_from,valid_to
1,C00001,Temporary/Probation/Freelance,26400,2026-09-10,
2,C00002,Retired,18900,2026-09-10,
3,C00003,Permanent employment,30800,2026-09-10,
4,C00004,Permanent employment,35700,2026-09-10,
5,C00005,Permanent employment,45900,2026-09-10,
6,C00006,Self-employed,29900,2026-09-10,
7,C00007,Self-employed,57100,2026-09-10,
8,C00008,Retired,24000,2026-09-10,
9,C00009,Permanent employment,42600,2026-09-10,
10,C00010,Permanent employment,40000,2026-09-10,
11,C00011,Student,9600,2026-09-10,
12,C00012,Retired,28600,2026-09-10,
13,C00013,Retired,15300,2026-09-10,
14,C00014,Permanent employment,37500,2026-09-10,
15,C00015,Permanent employment,40700,2026-09-10,
16,C00016,Permanent employment,43200,2026-09-10,
17,C00017,Permanent employment,52100,2026-09-10,
18,C00018,Self-employed,41700,2026-09-10,
19,C00019,Permanent employment,35200,2026-09-10,
20,C00020,Unemployed,15600,2026-09-10,
21,C00021,Self-employed,42900,2026-09-10,
22,C00022,Permanent employment,46400,2026-09-10,
23,C00023,Unemployed,14800,2026-09-10,
24,C00024,Permanent employment,53500,2026-09-10,
25,C00025,Permanent employment,41300,2026-09-10,
26,C00026,Self-employed,66900,2026-09-10,
27,C00027,Permanent employment,39100,2026-09-10,
28,C00028,Unemployed,15700,2026-09-10,
29,C00029,Unemployed,7100,2026-09-10,
30,C00030,Student,15600,2026-09-10,
31,C00031,Unemployed,13300,2026-09-10,
32,C00032,Permanent employment,41500,2026-09-10,
33,C00033,Student,8400,2026-09-10,
34,C00034,Self-employed,65700,2026-09-10,
35,C00035,Retired,25500,2026-09-10,
36,C00036,Retired,24900,2026-09-10,
37,C00037,Temporary/Probation/Freelance,45100,2026-09-10,
38,C00038,Unemployed,4000,2026-09-10,
39,C00039,Permanent employment,40100,2026-09-10,
40,C00040,Permanent employment,43900,2026-09-10,
41,C00041,Permanent employment,32200,2026-09-10,
42,C00042,Self-employed,51000,2026-09-10,
43,C00043,Student,3300,2026-09-10,
44,C00044,Retired,14800,2026-09-10,
45,C00045,Parental leave,32600,2026-09-10,
46,C00046,Permanent employment,36600,2026-09-10,
47,C00047,Permanent employment,48600,2026-09-10,
48,C00048,Permanent employment,40800,2026-09-10,
49,C00049,Permanent employment,39100,2026-09-10,
50,C00050,Permanent employment,31100,2026-09-10,
51,C00051,Retired,17200,2026-09-10,
52,C00052,Retired,20900,2026-09-10,
53,C00053,Retired,18300,2026-09-10,
54,C00054,Retired,23000,2026-09-10,
55,C00055,Permanent employment,32000,2026-09-10,
56,C00056,Retired,18000,2026-09-10,
57,C00057,Permanent employment,46700,2026-09-10,
58,C00058,Permanent employment,29200,2026-09-10,
59,C00059,Permanent employment,25400,2026-09-10,
60,C00060,Self-employed,67300,2026-09-10,
61,C00061,Permanent employment,44700,2026-09-10,
62,C00062,Permanent employment,32900,2026-09-10,
63,C00063,Retired,28100,2026-09-10,
64,C00064,Permanent employment,53300,2026-09-10,
65,C00065,Permanent employment,44800,2026-09-10,
66,C00066,Permanent employment,41100,2026-09-10,
67,C00067,Permanent employment,25800,2026-09-10,
68,C00068,Retired,20500,2026-09-10,
69,C00069,Permanent employment,22000,2026-09-10,
70,C00070,Retired,23800,2026-09-10,
71,C00071,Permanent employment,48800,2026-09-10,
72,C00072,Self-employed,27200,2026-09-10,
73,C00073,Temporary/Probation/Freelance,35500,2026-09-10,
74,C00074,Unemployed,7000,2026-09-10,
75,C00075,Permanent employment,41300,2026-09-10,
76,C00076,Permanent employment,28900,2026-09-10,
77,C00077,Permanent employment,44300,2026-09-10,
