loan_id,customer_id,loan_type_id,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L000001,C00001,4,186000,106200,8.28,5980,0,False
L000002,C00002,3,470000,265600,2.92,1870,0,False
L000003,C00003,3,917000,824100,2.42,4150,0,False
L000004,C00004,1,93000,71800,6.7,3800,0,False
L000005,C00005,3,1592000,982400,3.5,6640,0,False
L000006,C00006,3,1138000,667100,3.14,5240,1,False
L000007,C00006,1,135000,72500,8.46,3170,0,False
L000008,C00007,2,21000,15500,15.5,1050,0,False
L000009,C00008,1,173000,84200,6.7,4260,0,False
L000010,C00009,3,1570000,1024700,2.67,6880,0,False
L000011,C00010,3,1952000,1633800,3.3,10010,0,False
L000012,C00010,1,130000,58500,6.73,4360,0,False
L000013,C00011,4,53000,20600,8.09,540,1,False
L000014,C00012,4,65000,23200,10.51,2430,0,False
L000015,C00012,2,36000,19300,17.13,1800,0,False
L000016,C00013,2,18000,5200,14.88,900,0,False
L000017,C00014,1,78000,21000,6.64,1560,0,False
L000018,C00015,4,80000,38100,10.37,930,0,False
L000019,C00015,3,2171000,1725200,2.68,9150,0,False
L000020,C00016,4,61000,39500,8.19,770,0,False
L000021,C00017,3,2142000,1643400,2.38,10000,0,False
L000022,C00018,4,96000,28600,8.68,950,0,False
L000023,C00019,2,16000,11100,14.78,800,0,False
L000024,C00020,4,92000,30500,6.83,1550,0,True
L000025,C00020,2,14000,2100,21.45,700,0,False
L000026,C00021,3,1461000,752100,2.54,6580,0,False
L000027,C00021,2,33000,11200,17.27,1650,0,False
L000028,C00022,1,347000,209600,6.65,12950,0,True
L000029,C00022,3,1347000,987000,3.28,5750,0,False
L000030,C00022,2,32000,2700,16.32,1600,0,False
L000031,C00023,2,9000,900,14.68,450,4,False
L000032,C00024,1,380000,295400,6.43,16390,0,False
L000033,C00024,4,190000,84100,8.26,2580,1,False
L000034,C00024,3,2458000,1739400,2.81,9760,2,False
L000035,C00025,1,404000,362400,4.97,5630,0,False
L000036,C00026,1,347000,94500,7.83,13850,0,False
L000037,C00026,3,1763000,900400,3.18,6270,0,False
L000038,C00027,2,24000,3600,16.42,1200,0,False
L000039,C00028,2,17000,2100,20.24,850,0,False
L000040,C00028,4,16000,12000,10.3,370,0,False
L000041,C00028,1,88000,73200,8.37,1770,0,False
L000042,C00029,4,47000,32600,13.47,620,0,False
L000043,C00030,1,125000,67300,7.76,1830,0,False
L000044,C00031,2,18000,10000,19.93,900,0,False
L000045,C00032,2,31000,20400,20.52,1550,0,False
L000046,C00033,2,9000,1500,14.74,450,0,False
L000047,C00034,3,2309000,2082700,2.68,9990,0,False
L000048,C00035,2,35000,5900,18.35,1750,0,False
L000049,C00035,3,744000,668100,3.48,3790,0,False
L000050,C00035,1,187000,115500,7.04,2630,2,False
L000051,C00036,3,688000,311900,3.2,2460,0,False
L000052,C00036,2,15000,2900,19.03,750,0,False
L000053,C00037,2,42000,27700,16.87,2100,0,False
L000054,C00037,1,165000,97100,5.95,2280,0,False
L000055,C00037,3,1364000,1198800,3.73,6040,0,False
L000056,C00038,2,5000,3800,17.43,250,2,False
L000057,C00039,4,49000,35300,8.58,800,1,False
L000058,C00040,2,46000,12300,15.66,2300,1,False
L000059,C00041,3,1482000,901200,2.85,5950,2,False
L000060,C00041,4,163000,61400,6.26,5290,2,False
L000061,C00041,2,41000,3600,18.85,2050,0,False
L000062,C00042,3,2150000,1744100,2.76,10560,0,False
L000063,C00043,2,5000,2000,18.88,250,0,False
L000064,C00044,2,12000,2200,15.93,600,0,False
L000065,C00045,1,279000,184700,6.78,7400,0,False
L000066,C00045,4,191000,78600,7.93,3190,1,False
L000067,C00046,3,1831000,1082800,2.99,6630,0,False
L000068,C00047,3,2243000,1607100,2.95,11110,2,False
L000069,C00047,2,53000,24700,16.91,2650,3,False
L000070,C00047,1,483000,369300,8.36,11360,0,False
L000071,C00048,4,121000,36900,8.22,1500,0,False
L000072,C00049,2,48000,30000,22.0,2400,2,False
L000073,C00050,4,201000,150400,7.73,4280,0,False
L000074,C00050,3,1462000,1312900,3.62,7350,2,False
L000075,C00050,2,34000,8400,17.5,1700,0,False
L000076,C00050,1,306000,206800,5.93,6810,0,False
L000077,C00051,4,127000,70800,12.29,3760,0,False
L000078,C00052,3,982000,587500,2.76,3670,0,False
L000079,C00053,4,68000,14700,7.1,2500,0,False
L000080,C00054,2,8000,6700,15.15,400,0,False
L000081,C00055,2,24000,6300,19.91,1200,0,False
L000082,C00055,3,1402000,856300,2.65,6490,0,False
L000083,C00056,3,639000,417600,3.07,2410,2,False
L000084,C00057,2,55000,20300,20.57,2750,0,False
L000085,C00057,3,1383000,944100,3.07,5800,0,False
L000086,C00058,3,1393000,1311000,2.97,6180,0,False
